   7.6512688e+00   8.9429370e+00   9.7458382e+00   1.0258196e+01   1.0705757e+01
   4.8047169e+00   6.0198535e+00   7.0254747e+00   7.8024499e+00   8.5385757e+00
   4.4240170e+00   5.1889665e+00   5.8065032e+00   6.5232405e+00   7.2713317e+00
   5.2477678e+00   6.4236374e+00   7.4538355e+00   8.2677923e+00   9.1046125e+00
   4.5916720e+00   5.7787527e+00   6.6517141e+00   7.3960970e+00   8.0593652e+00
   4.7188376e+00   6.0549118e+00   7.5861847e+00   8.8548669e+00   9.6786073e+00
   5.0979570e+00   6.0546437e+00   6.8969367e+00   7.7275522e+00   8.3447633e+00
   5.2199583e+00   6.2975927e+00   7.0993035e+00   7.5736159e+00   8.1659876e+00
   6.3329239e+00   7.4651995e+00   8.4577899e+00   9.1078571e+00   9.6743967e+00
   4.7780177e+00   5.9213092e+00   6.6807609e+00   7.3825932e+00   8.1533174e+00
   6.6031333e+00   8.1859025e+00   8.8522403e+00   9.3408014e+00   9.9232840e+00
   6.2264634e+00   7.7921861e+00   8.6848208e+00   9.7173199e+00   1.0181496e+01
   5.8407687e+00   8.0682440e+00   9.3069620e+00   1.0267648e+01   1.0975385e+01
   5.2868826e+00   6.6083671e+00   7.6559974e+00   8.3775657e+00   9.0207763e+00
   5.3599089e+00   6.7857805e+00   7.9179602e+00   9.0280892e+00   9.6060576e+00
   4.7765125e+00   5.6670514e+00   6.2248666e+00   6.7426134e+00   7.2725060e+00
   6.3954903e+00   7.5874957e+00   8.5630520e+00   9.4333647e+00   1.0028249e+01
   6.8588503e+00   7.8318763e+00   8.4651472e+00   9.2365151e+00   9.8413641e+00
   5.3397678e+00   6.1595654e+00   6.7740912e+00   7.2932380e+00   7.6948890e+00
   3.6591316e+00   4.5351897e+00   5.4646437e+00   6.0949581e+00   6.8654076e+00
   4.9910919e+00   6.3806554e+00   7.5358861e+00   8.2498224e+00   9.0619622e+00
   4.2600717e+00   5.4722516e+00   6.3636516e+00   7.1777687e+00   7.8532674e+00
   4.3667227e+00   5.1025460e+00   6.0883930e+00   6.8930649e+00   7.6592335e+00
   4.9076649e+00   5.8559477e+00   6.5891114e+00   7.1509614e+00   7.7123206e+00
   6.8809963e+00   8.2911850e+00   9.2167148e+00   9.8341633e+00   1.0514477e+01
   5.2850090e+00   6.9303124e+00   7.9577585e+00   8.7949228e+00   9.5960013e+00
   3.8798760e+00   5.0662266e+00   5.9699724e+00   6.8630201e+00   7.5809192e+00
   4.5906163e+00   5.7305548e+00   6.6461838e+00   7.7239686e+00   8.8295509e+00
   6.3717387e+00   8.0209944e+00   8.9171390e+00   9.4910068e+00   9.9285296e+00
   6.1652844e+00   7.1202957e+00   7.8639213e+00   8.5621044e+00   9.0901068e+00
